"stationid","time","avlbikes"
54,"2017-06-30 11:00:00",14.7
55,"2017-06-30 10:00:00",6.0
55,"2017-06-30 11:00:00",5.2
56,"2017-06-30 10:00:00",8.8
56,"2017-06-30 11:00:00",8.1
57,"2017-06-30 10:00:00",0.4
57,"2017-06-30 11:00:00",2.4
58,"2017-06-30 10:00:00",3.9
58,"2017-06-30 11:00:00",3.3
60,"2017-06-30 10:00:00",36.3
60,"2017-06-30 11:00:00",31.9
61,"2017-06-30 10:00:00",1.5
61,"2017-06-30 11:00:00",0.4
62,"2017-06-30 10:00:00",3.4
62,"2017-06-30 11:00:00",2.2
63,"2017-06-30 10:00:00",2.0
63,"2017-06-30 11:00:00",3.2
64,"2017-06-30 10:00:00",3.3
64,"2017-06-30 11:00:00",8.0
65,"2017-06-30 10:00:00",18.9
65,"2017-06-30 11:00:00",19.8
66,"2017-06-30 10:00:00",14.4
66,"2017-06-30 11:00:00",13.4
68,"2017-06-30 10:00:00",3.6
68,"2017-06-30 11:00:00",0.6
69,"2017-06-30 10:00:00",2.7
69,"2017-06-30 11:00:00",0.3
70,"2017-06-30 10:00:00",0.5
70,"2017-06-30 11:00:00",4.1
71,"2017-06-30 10:00:00",5.8
71,"2017-06-30 11:00:00",7.3
72,"2017-06-30 10:00:00",2.6
72,"2017-06-30 11:00:00",3.1
73,"2017-06-30 10:00:00",5.0
73,"2017-06-30 11:00:00",5.5
74,"2017-06-30 10:00:00",6.7
74,"2017-06-30 11:00:00",2.4
75,"2017-06-30 10:00:00",0.6
75,"2017-06-30 11:00:00",1.2
76,"2017-06-30 10:00:00",0.1
76,"2017-06-30 11:00:00",1.5
78,"2017-06-30 10:00:00",1.0
78,"2017-06-30 11:00:00",3.7
79,"2017-06-30 10:00:00",2.7
79,"2017-06-30 11:00:00",0.4
80,"2017-06-30 10:00:00",2.0
80,"2017-06-30 11:00:00",4.1
81,"2017-06-30 10:00:00",0.0
81,"2017-06-30 11:00:00",1.6
82,"2017-06-30 10:00:00",1.2
82,"2017-06-30 11:00:00",0.7
83,"2017-06-30 10:00:00",26.5
83,"2017-06-30 11:00:00",16.9
85,"2017-06-30 10:00:00",1.3
85,"2017-06-30 11:00:00",2.4
86,"2017-06-30 10:00:00",2.3
86,"2017-06-30 11:00:00",0.8
88,"2017-06-30 10:00:00",15.6
88,"2017-06-30 11:00:00",13.5
89,"2017-06-30 10:00:00",0.6
89,"2017-06-30 11:00:00",0.5
90,"2017-06-30 10:00:00",9.6
90,"2017-06-30 11:00:00",9.7
91,"2017-06-30 10:00:00",8.7
91,"2017-06-30 11:00:00",8.0
92,"2017-06-30 10:00:00",10.0
92,"2017-06-30 11:00:00",9.3
93,"2017-06-30 10:00:00",9.0
93,"2017-06-30 11:00:00",7.8
94,"2017-06-30 10:00:00",26.1
94,"2017-06-30 11:00:00",27.6
95,"2017-06-30 10:00:00",21.8
95,"2017-06-30 11:00:00",22.3
96,"2017-06-30 10:00:00",17.0
96,"2017-06-30 11:00:00",16.7
97,"2017-06-30 10:00:00",9.9
97,"2017-06-30 11:00:00",8.3
98,"2017-06-30 10:00:00",2.0
98,"2017-06-30 11:00:00",2.0
99,"2017-06-30 10:00:00",6.0
99,"2017-06-30 11:00:00",6.4
100,"2017-06-30 10:00:00",1.0
100,"2017-06-30 11:00:00",1.0
101,"2017-06-30 10:00:00",15.6
101,"2017-06-30 11:00:00",16.4
102,"2017-06-30 10:00:00",1.4
102,"2017-06-30 11:00:00",0.7
103,"2017-06-30 10:00:00",2.5
103,"2017-06-30 11:00:00",2.1
104,"2017-06-30 10:00:00",12.0
104,"2017-06-30 11:00:00",12.7
105,"2017-06-30 10:00:00",16.5
105,"2017-06-30 11:00:00",16.6
106,"2017-06-30 10:00:00",15.2
106,"2017-06-30 11:00:00",13.4
107,"2017-06-30 10:00:00",8.8
107,"2017-06-30 11:00:00",8.7
108,"2017-06-30 10:00:00",7.0
108,"2017-06-30 11:00:00",5.6
110,"2017-06-30 10:00:00",10.3
110,"2017-06-30 11:00:00",7.0
111,"2017-06-30 10:00:00",12.8
111,"2017-06-30 11:00:00",12.6
112,"2017-06-30 10:00:00",2.6
112,"2017-06-30 11:00:00",5.4
113,"2017-06-30 10:00:00",3.1
113,"2017-06-30 11:00:00",0.9
114,"2017-06-30 10:00:00",2.8
114,"2017-06-30 11:00:00",2.7
115,"2017-06-30 10:00:00",3.4
115,"2017-06-30 11:00:00",1.1
116,"2017-06-30 10:00:00",4.2
116,"2017-06-30 11:00:00",9.3
117,"2017-06-30 10:00:00",4.4
117,"2017-06-30 11:00:00",3.6
118,"2017-06-30 10:00:00",4.9
118,"2017-06-30 11:00:00",3.7
119,"2017-06-30 10:00:00",7.6
119,"2017-06-30 11:00:00",6.0
120,"2017-06-30 10:00:00",5.8
120,"2017-06-30 11:00:00",4.1
122,"2017-06-30 10:00:00",3.4
122,"2017-06-30 11:00:00",4.1
123,"2017-06-30 10:00:00",2.8
123,"2017-06-30 11:00:00",1.9
125,"2017-06-30 10:00:00",0.3
125,"2017-06-30 11:00:00",0.1
126,"2017-06-30 10:00:00",21.7
126,"2017-06-30 11:00:00",23.2
127,"2017-06-30 10:00:00",9.2
127,"2017-06-30 11:00:00",10.0
128,"2017-06-30 10:00:00",0.0
128,"2017-06-30 11:00:00",0.0
129,"2017-06-30 10:00:00",1.1
129,"2017-06-30 11:00:00",3.7
130,"2017-06-30 10:00:00",28.9
130,"2017-06-30 11:00:00",27.5
131,"2017-06-30 10:00:00",21.0
131,"2017-06-30 11:00:00",16.9
133,"2017-06-30 10:00:00",3.8
133,"2017-06-30 11:00:00",1.0
134,"2017-06-30 10:00:00",2.3
134,"2017-06-30 11:00:00",0.9
135,"2017-06-30 10:00:00",1.4
135,"2017-06-30 11:00:00",3.1
136,"2017-06-30 10:00:00",1.0
136,"2017-06-30 11:00:00",0.0
137,"2017-06-30 10:00:00",8.8
137,"2017-06-30 11:00:00",9.9
138,"2017-06-30 10:00:00",3.6
138,"2017-06-30 11:00:00",5.5
139,"2017-06-30 10:00:00",18.9
139,"2017-06-30 11:00:00",17.7
140,"2017-06-30 10:00:00",11.3
140,"2017-06-30 11:00:00",11.8
141,"2017-06-30 10:00:00",6.6
141,"2017-06-30 11:00:00",5.9
142,"2017-06-30 10:00:00",9.5
142,"2017-06-30 11:00:00",9.7
144,"2017-06-30 10:00:00",1.7
144,"2017-06-30 11:00:00",2.1
145,"2017-06-30 10:00:00",3.0
145,"2017-06-30 11:00:00",2.9
146,"2017-06-30 10:00:00",1.7
146,"2017-06-30 11:00:00",3.1
147,"2017-06-30 10:00:00",10.2
147,"2017-06-30 11:00:00",8.8
148,"2017-06-30 10:00:00",16.5
148,"2017-06-30 11:00:00",15.7
149,"2017-06-30 10:00:00",10.8
149,"2017-06-30 11:00:00",9.6
150,"2017-06-30 10:00:00",2.5
150,"2017-06-30 11:00:00",4.2
151,"2017-06-30 10:00:00",6.6
151,"2017-06-30 11:00:00",7.9
152,"2017-06-30 10:00:00",10.0
152,"2017-06-30 11:00:00",10.0
153,"2017-06-30 10:00:00",11.9
153,"2017-06-30 11:00:00",12.0
154,"2017-06-30 10:00:00",8.8
154,"2017-06-30 11:00:00",9.0
155,"2017-06-30 10:00:00",18.9
155,"2017-06-30 11:00:00",17.3
156,"2017-06-30 10:00:00",10.0
156,"2017-06-30 11:00:00",11.0
157,"2017-06-30 10:00:00",7.0
157,"2017-06-30 11:00:00",7.0
158,"2017-06-30 10:00:00",6.0
158,"2017-06-30 11:00:00",5.0
159,"2017-06-30 10:00:00",13.1
159,"2017-06-30 11:00:00",13.0
160,"2017-06-30 10:00:00",9.0
160,"2017-06-30 11:00:00",9.0
